question_id,source_query,converted_query,conversion_result,attempts,source_rows,dest_rows,reason
3,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,"SELECT T2.""MailStreet"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" ORDER BY T1.""FRPM Count (K-12)"" DESC NULLS LAST LIMIT 1",result_matched,2,1,1,The converted query produced the same number of rows (1) and the same data ('14429 South Downey Avenue') as the source query. The conversion correctly handled column and table naming with double quotes and added `NULLS LAST` for `ORDER BY DESC` as required by PostgreSQL.
5,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath > 400,"SELECT COUNT(DISTINCT T2.""School"") FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""Virtual"" = 'F' AND T1.""AvgScrMath"" > 400",result_matched,2,1,1,"The previous attempt successfully converted the query. Both source and destination queries returned 1 row with the same value (4). The conversion correctly applied double quotes to table and column names, and no other specific PostgreSQL-isms were required for this particular query."
7,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,"SELECT T2.""Phone"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" ORDER BY T1.""NumGE1500"" DESC NULLS LAST LIMIT 1",result_matched,2,1,1,The number of rows and the data values in the result set match between the source SQLite query and the converted PostgreSQL query. The conversion correctly handled table and column naming conventions and NULL ordering for DESC.
2,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,"SELECT T2.""Zip"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""District Name"" = 'Fresno County Office of Education' AND T1.""Charter School (Y/N)"" = TRUE",result_matched,2,5,5,"The row counts match (5 rows in both source and destination). The data values for the 'Zip' column are identical in both execution results, confirming semantic equivalence."
6,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,"SELECT T2.""School"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""Magnet"" = TRUE AND T1.""NumTstTakr"" > 500",result_matched,2,3,3,"The number of rows and the data values in the destination query's result set are identical to the source query's result set. The conversion correctly handled double-quoting of identifiers and the boolean conversion from SQLite's `1` to PostgreSQL's `TRUE` for the 'Magnet' column, which is defined as BOOLEAN in the PostgreSQL schema."
8,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),"SELECT ""NumTstTakr"" FROM ""satscores"" WHERE ""cds"" = ( SELECT ""CDSCode"" FROM ""frpm"" ORDER BY ""FRPM Count (K-12)"" DESC NULLS LAST LIMIT 1 )",result_matched,2,1,1,"The row counts and data values for both the source and destination queries match exactly. The conversion correctly handled column and table naming, and NULL ordering in the ORDER BY clause, leading to semantically equivalent results."
4,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',"SELECT T2.""Phone"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""Charter Funding Type"" = 'Directly funded' AND T1.""Charter School (Y/N)"" = TRUE AND T2.""OpenDate"" > '2000-01-01'",result_matched,2,751,751,The number of rows and the data values in the destination query execution result match those of the source query execution result. The conversion correctly handled column and table names with double quotes and converted the SQLite integer boolean (1) to PostgreSQL's explicit boolean (TRUE).
0,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,"SELECT ""Free Meal Count (K-12)"" / ""Enrollment (K-12)"" FROM ""frpm"" WHERE ""County Name"" = 'Alameda' ORDER BY (""Free Meal Count (K-12)""::DOUBLE PRECISION / ""Enrollment (K-12)"") DESC NULLS LAST LIMIT 1",result_matched,2,1,1,"The row counts match (1 row in both source and destination). The data values also match (1.0 in both cases). The conversion correctly handled column quoting, type casting for division in the ORDER BY clause to ensure floating-point arithmetic, and added NULLS LAST for DESC ordering. The division in the SELECT clause implicitly performs floating-point division because the columns are already of type DOUBLE PRECISION in PostgreSQL."
1,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,"SELECT ""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"" FROM ""frpm"" WHERE ""Educational Option Type"" = 'Continuation School' AND ""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"" IS NOT NULL ORDER BY (""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"") ASC NULLS LAST LIMIT 3",result_matched,2,3,3,"The number of rows and the data values in the destination query's result set are identical to the source query's result set. The conversion correctly handled column and table naming, and the division operation produced semantically equivalent results due to the DOUBLE PRECISION type of the involved columns in PostgreSQL. The `NULLS LAST` clause in the ORDER BY ensures semantic equivalence for NULL handling."
14,SELECT T1.NCESSchool FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T2.`Enrollment (Ages 5-17)` DESC LIMIT 5,"SELECT T1.""NCESSchool"" FROM ""schools"" AS T1 INNER JOIN ""frpm"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" ORDER BY T2.""Enrollment (Ages 5-17)"" DESC NULLS LAST LIMIT 5",result_matched,2,5,5,"The converted query produced the same number of rows and identical data values as the source query. The `NULLS LAST` addition to the ORDER BY clause correctly handled PostgreSQL's default NULL ordering for DESC, ensuring semantic equivalence with SQLite."
11,SELECT T2.CDSCode FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Enrollment (K-12)` + T2.`Enrollment (Ages 5-17)` > 500,"SELECT T2.""CDSCode"" FROM ""schools"" AS T1 INNER JOIN ""frpm"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""Enrollment (K-12)"" + T2.""Enrollment (Ages 5-17)"" > 500",result_matched,2,7806,7806,"The converted query produced the same number of rows (7806) and the same data values as the source query. The column and table names were correctly double-quoted, and the arithmetic operation on DOUBLE PRECISION columns behaved as expected, leading to semantically equivalent results."
16,SELECT COUNT(T1.CDSCode) FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.StatusType = 'Merged' AND T2.NumTstTakr < 100 AND T1.County = 'Lake',"SELECT COUNT(T1.""CDSCode"") FROM ""schools"" AS T1 INNER JOIN ""satscores"" AS T2 ON T1.""CDSCode"" = T2.""cds"" WHERE T1.""StatusType"" = 'Merged' AND T2.""NumTstTakr"" < 100 AND T1.""County"" = 'Lake'",result_matched,2,1,1,"The number of rows and the data values in the result set from the PostgreSQL query match those from the SQLite query. The conversion correctly applied double quotes to table and column names, and no other specific conversions (like type casting or NULL handling) were required for this particular query."
12,SELECT MAX(CAST(T1.`Free Meal Count (Ages 5-17)` AS REAL) / T1.`Enrollment (Ages 5-17)`) FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr > 0.3,"SELECT MAX(T1.""Free Meal Count (Ages 5-17)"" / T1.""Enrollment (Ages 5-17)"") FROM ""frpm"" AS T1 INNER JOIN ""satscores"" AS T2 ON T1.""CDSCode"" = T2.""cds"" WHERE T2.""NumGE1500""::DOUBLE PRECISION / T2.""NumTstTakr"" > 0.3",result_matched,2,1,1,"The row counts and data values from both source and destination queries are identical, indicating a successful and semantically equivalent conversion."
13,SELECT T1.Phone FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds ORDER BY CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr DESC LIMIT 3,"SELECT T1.""Phone"" FROM ""schools"" AS T1 INNER JOIN ""satscores"" AS T2 ON T1.""CDSCode"" = T2.""cds"" ORDER BY T2.""NumGE1500""::DOUBLE PRECISION / T2.""NumTstTakr"" DESC NULLS LAST LIMIT 3",result_matched,2,3,3,"The converted query produced the same number of rows (3) and identical data values as the source query. The conversion correctly handled double quoting for table and column names, applied PostgreSQL-specific type casting for division to ensure real number results, and added `NULLS LAST` to the `ORDER BY` clause to match SQLite's default behavior for descending order."
21,SELECT COUNT(CDSCode) FROM frpm WHERE `County Name` = 'Los Angeles' AND `Free Meal Count (K-12)` > 500 AND `FRPM Count (K-12)`< 700,"SELECT COUNT(""CDSCode"") FROM ""frpm"" WHERE ""County Name"" = 'Los Angeles' AND ""Free Meal Count (K-12)"" > 500 AND ""FRPM Count (K-12)"" < 700",result_matched,2,1,1,The converted query produced the same number of rows and the same data values as the source query. Column and table names were correctly double-quoted. No other specific conversions were required for this query.
22,SELECT sname FROM satscores WHERE cname = 'Contra Costa' AND sname IS NOT NULL ORDER BY NumTstTakr DESC LIMIT 1,"SELECT ""sname"" FROM ""satscores"" WHERE ""cname"" = 'Contra Costa' AND ""sname"" IS NOT NULL ORDER BY ""NumTstTakr"" DESC NULLS LAST LIMIT 1",result_matched,2,1,1,"The number of rows and the data values in the destination query result match those of the source query result. The conversion correctly handled column and table naming, and the NULLS LAST clause in the ORDER BY ensures semantic equivalence for DESC ordering."
18,SELECT COUNT(T1.CDSCode) FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`County Name` = 'Fresno' AND T2.NumTstTakr <= 250,"SELECT COUNT(T1.""CDSCode"") FROM ""frpm"" AS T1 INNER JOIN ""satscores"" AS T2 ON T1.""CDSCode"" = T2.""cds"" WHERE T1.""Charter Funding Type"" = 'Directly funded' AND T1.""County Name"" = 'Fresno' AND T2.""NumTstTakr"" <= 250",result_matched,3,1,1,"The number of rows and the data values in the result set from the converted PostgreSQL query match the source SQLite query's execution result. The previous attempt successfully corrected the alias usage, leading to a semantically equivalent query."
20,SELECT COUNT(T1.`School Name`) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Amador' AND T1.`Low Grade` = 9 AND T1.`High Grade` = 12,"SELECT COUNT(T1.""School Name"") FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""County"" = 'Amador' AND T1.""Low Grade"" = '9' AND T1.""High Grade"" = '12'",result_matched,3,1,1,"The previous attempt successfully converted the query. Both the source and destination queries returned 1 row with the value 3, indicating that the row counts and data values are semantically equivalent."
25,"SELECT T1.sname, T2.`Charter Funding Type` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T2.`District Name` LIKE 'Riverside%' GROUP BY T1.sname, T2.`Charter Funding Type` HAVING CAST(SUM(T1.AvgScrMath) AS REAL) / COUNT(T1.cds) > 400","SELECT T1.""sname"", T2.""Charter Funding Type"" FROM ""satscores"" AS T1 INNER JOIN ""frpm"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""District Name"" LIKE 'Riverside%' GROUP BY T1.""sname"", T2.""Charter Funding Type"" HAVING SUM(T1.""AvgScrMath"")::DOUBLE PRECISION / COUNT(T1.""cds"") > 400",result_matched,2,6,6,"The number of rows and the data values in the destination query's execution result match those of the source query. The conversion successfully handled column/table naming, and the division in the HAVING clause by explicitly casting to DOUBLE PRECISION."
26,"SELECT T1.`School Name`, T2.Street, T2.City, T2.State, T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Monterey' AND T1.`Free Meal Count (Ages 5-17)` > 800 AND T1.`School Type` = 'High Schools (Public)'","SELECT T1.""School Name"", T2.""Street"", T2.""City"", T2.""State"", T2.""Zip"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""County"" = 'Monterey' AND T1.""Free Meal Count (Ages 5-17)"" > 800 AND T1.""School Type"" = 'High Schools (Public)'",result_matched,2,5,5,"The row counts match (5 rows in both source and destination). The data values for the first 5 rows are identical, indicating semantic equivalence. The conversion correctly applied double quotes to table and column names, and no other specific conversions (like type casting or NULL handling) were required for this query."
