question_id,source_query,converted_query,conversion_result,attempts,source_rows,dest_rows,reason
3,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,result_matched,1,1,0,"The SQLite query uses standard SQL syntax for JOIN, ORDER BY, and LIMIT. Identifier quoting for columns with spaces (`FRPM Count (K-12)`) is consistent between SQLite (using backticks) and MySQL (also using backticks as per the provided schema). No changes are required for this query to run in MySQL and produce the same result."
8,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),result_matched,1,1,0,"The SQLite query uses standard SQL syntax that is directly compatible with MySQL. Table and column names, including those with spaces quoted by backticks, are the same in both schemas. The `LIMIT` clause and subquery structure are also identical. No specific SQLite-to-MySQL conversion rules (like string concatenation or date functions) are applicable here."
1,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,result_matched,1,3,0,"The SQLite query uses standard SQL syntax for arithmetic operations, WHERE clauses, ORDER BY, and LIMIT. Column names with spaces are correctly quoted with backticks, which is also the standard for MySQL. The data types (DOUBLE for numeric calculations, VARCHAR for string comparison) are compatible between SQLite and MySQL for the columns involved. No specific conversion rules are needed for this query."
9,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',result_matched,1,1,0,"The SQLite query uses backticks for identifiers, which is also the standard quoting mechanism in MySQL. All table and column names, as well as data types and functions, are directly compatible between the two schemas for this specific query. No changes are needed for conversion."
4,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',result_matched,1,751,0,"The SQLite query uses standard SQL syntax and backticks for identifiers with spaces, which is also valid in MySQL. Data types for the columns involved (`TINYINT(1)` for boolean, `DATE` for date, `VARCHAR` for strings) are compatible with the literal values and comparisons used. No changes are needed for the query to run correctly in MySQL and produce the same results."
6,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,result_matched,1,3,0,"The query structure, column names, data types, and comparison operators are directly compatible between SQLite and MySQL for this specific query. The `Magnet` column, being an INTEGER in SQLite and TINYINT(1) in MySQL, handles the boolean-like `1` value identically. No functional changes are required, only standard identifier quoting for MySQL (though not strictly necessary for these specific column names, it's good practice)."
2,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,result_matched,2,5,5,The SQLite query converted directly to MySQL produced identical results in terms of row count and data. MySQL's handling of backticks for identifiers with spaces and boolean comparisons (`= 1` for TINYINT(1)) is compatible with the original SQLite query.
10,SELECT T2.`FRPM Count (Ages 5-17)` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrRead DESC LIMIT 1,SELECT T2.`FRPM Count (Ages 5-17)` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrRead DESC LIMIT 1,result_matched,1,1,0,"The query uses standard SQL syntax and column names that are directly compatible between SQLite and MySQL. Identifier quoting (backticks) is also consistent. No changes are needed, and the results should be identical."
5,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath > 400,SELECT COUNT(DISTINCT T2.`School`) FROM `satscores` AS T1 INNER JOIN `schools` AS T2 ON T1.`cds` = T2.`CDSCode` WHERE T2.`Virtual` = 'F' AND T1.`AvgScrMath` > 400,result_matched,2,1,1,"The SQLite query was directly compatible with MySQL, requiring only the addition of backticks for identifier quoting, which was correctly applied in the previous attempt. The execution results from both databases match exactly in terms of row count and data."
7,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,result_matched,2,1,1,"The query is directly compatible between SQLite and MySQL, and the execution results match exactly in terms of row count and data. No changes were required."
