question_id,sqlite_source_query,mysql_direct_from_sqlite,direct_status,pg_intermediate_query,mysql_via_pg,via_pg_status,both_succeeded,queries_identical
0,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (`Free Meal Count (K-12)` / `Enrollment (K-12)`) DESC LIMIT 1,result_matched,"SELECT ""Free Meal Count (K-12)"" / ""Enrollment (K-12)"" FROM ""frpm"" WHERE ""County Name"" = 'Alameda' ORDER BY (""Free Meal Count (K-12)""::DOUBLE PRECISION / ""Enrollment (K-12)"") DESC NULLS LAST LIMIT 1",SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM `frpm` WHERE `County Name` = 'Alameda' ORDER BY (`Free Meal Count (K-12)` / `Enrollment (K-12)`) DESC LIMIT 1,result_matched,True,False
1,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,result_matched,"SELECT ""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"" FROM ""frpm"" WHERE ""Educational Option Type"" = 'Continuation School' AND ""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"" IS NOT NULL ORDER BY ""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"" ASC NULLS LAST LIMIT 3",SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM `frpm` WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,result_matched,True,False
2,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,result_matched,"SELECT T2.""Zip"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""District Name"" = 'Fresno County Office of Education' AND T1.""Charter School (Y/N)"" = TRUE",SELECT T2.`Zip` FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,result_matched,True,False
3,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,result_matched,"SELECT T2.""MailStreet"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" ORDER BY T1.""FRPM Count (K-12)"" DESC NULLS LAST LIMIT 1",SELECT T2.`MailStreet` FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,result_matched,True,False
4,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',result_matched,"SELECT T2.""Phone"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""Charter Funding Type"" = 'Directly funded' AND T1.""Charter School (Y/N)"" = TRUE AND T2.""OpenDate"" > '2000-01-01'",SELECT T2.`Phone` FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.`OpenDate` > '2000-01-01',result_matched,True,False
5,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath > 400,SELECT COUNT(DISTINCT T2.`School`) FROM `satscores` AS T1 INNER JOIN `schools` AS T2 ON T1.`cds` = T2.`CDSCode` WHERE T2.`Virtual` = 'F' AND T1.`AvgScrMath` > 400,result_matched,"SELECT COUNT(DISTINCT T2.""School"") FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""Virtual"" = 'F' AND T1.""AvgScrMath"" > 400",SELECT COUNT(DISTINCT T2.`School`) FROM `satscores` AS T1 INNER JOIN `schools` AS T2 ON T1.`cds` = T2.`CDSCode` WHERE T2.`Virtual` = 'F' AND T1.`AvgScrMath` > 400,result_matched,True,True
6,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,result_matched,"SELECT T2.""School"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""Magnet"" = TRUE AND T1.""NumTstTakr"" > 500",SELECT T2.`School` FROM `satscores` AS T1 INNER JOIN `schools` AS T2 ON T1.`cds` = T2.`CDSCode` WHERE T2.`Magnet` = 1 AND T1.`NumTstTakr` > 500,result_matched,True,False
7,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,result_matched,"SELECT T2.""Phone"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" ORDER BY T1.""NumGE1500"" DESC NULLS LAST LIMIT 1",SELECT T2.`Phone` FROM `satscores` AS T1 INNER JOIN `schools` AS T2 ON T1.`cds` = T2.`CDSCode` ORDER BY T1.`NumGE1500` DESC LIMIT 1,result_matched,True,False
8,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),result_matched,"SELECT ""NumTstTakr"" FROM ""satscores"" WHERE ""cds"" = ( SELECT ""CDSCode"" FROM ""frpm"" ORDER BY ""FRPM Count (K-12)"" DESC NULLS LAST LIMIT 1 )",SELECT `NumTstTakr` FROM `satscores` WHERE `cds` = ( SELECT `CDSCode` FROM `frpm` ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),result_matched,True,False
9,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',result_matched,SQLite→PG failed,,N/A,False,False
