question_id,source_query,converted_query,conversion_result,attempts,source_rows,dest_rows,reason
2,"SELECT T2.""Zip"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""District Name"" = 'Fresno County Office of Education' AND T1.""Charter School (Y/N)"" = TRUE",SELECT T2.`Zip` FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,result_matched,2,5,5,The previous attempt successfully converted the PostgreSQL query to MySQL. Identifier quoting and boolean conversion were correctly handled. The execution results match exactly in terms of row count and data.
8,"SELECT ""NumTstTakr"" FROM ""satscores"" WHERE ""cds"" = ( SELECT ""CDSCode"" FROM ""frpm"" ORDER BY ""FRPM Count (K-12)"" DESC NULLS LAST LIMIT 1 )",SELECT `NumTstTakr` FROM `satscores` WHERE `cds` = ( SELECT `CDSCode` FROM `frpm` ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),result_matched,2,1,1,The previous attempt successfully converted the query. The row counts and data from the MySQL execution match the PostgreSQL execution results. The `NULLS LAST` clause was correctly removed as MySQL handles NULLs last by default for `ORDER BY DESC`.
5,"SELECT COUNT(DISTINCT T2.""School"") FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""Virtual"" = 'F' AND T1.""AvgScrMath"" > 400",SELECT COUNT(DISTINCT T2.`School`) FROM `satscores` AS T1 INNER JOIN `schools` AS T2 ON T1.`cds` = T2.`CDSCode` WHERE T2.`Virtual` = 'F' AND T1.`AvgScrMath` > 400,result_matched,2,1,1,"The previous conversion successfully translated the PostgreSQL query to MySQL. Identifier quoting was correctly handled, and no specific PostgreSQL functions or data types required further modification. The execution results (row count and data) match between PostgreSQL and MySQL."
7,"SELECT T2.""Phone"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" ORDER BY T1.""NumGE1500"" DESC NULLS LAST LIMIT 1",SELECT T2.`Phone` FROM `satscores` AS T1 INNER JOIN `schools` AS T2 ON T1.`cds` = T2.`CDSCode` ORDER BY T1.`NumGE1500` DESC LIMIT 1,result_matched,2,1,1,"The previous attempt successfully converted the query. MySQL's `ORDER BY DESC` places NULLs last by default, so `NULLS LAST` was correctly removed. The execution results match the PostgreSQL results."
11,"SELECT T2.""CDSCode"" FROM ""schools"" AS T1 INNER JOIN ""frpm"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""Enrollment (K-12)"" + T2.""Enrollment (Ages 5-17)"" > 500",SELECT T2.`CDSCode` FROM `schools` AS T1 INNER JOIN `frpm` AS T2 ON T1.`CDSCode` = T2.`CDSCode` WHERE T2.`Enrollment (K-12)` + T2.`Enrollment (Ages 5-17)` > 500,result_matched,2,7806,7806,"The previous attempt successfully converted the query. The row counts and data from both PostgreSQL and MySQL executions match exactly. The conversion involved changing double quotes to backticks for identifiers, which was correctly applied."
0,"SELECT ""Free Meal Count (K-12)"" / ""Enrollment (K-12)"" FROM ""frpm"" WHERE ""County Name"" = 'Alameda' ORDER BY (""Free Meal Count (K-12)""::DOUBLE PRECISION / ""Enrollment (K-12)"") DESC NULLS LAST LIMIT 1",SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM `frpm` WHERE `County Name` = 'Alameda' ORDER BY (`Free Meal Count (K-12)` / `Enrollment (K-12)`) DESC LIMIT 1,result_matched,2,1,1,The previous attempt successfully converted the query. Identifier quoting was correctly changed from double quotes to backticks. The PostgreSQL-specific `::DOUBLE PRECISION` cast was removed as MySQL handles division of DOUBLE columns appropriately. `NULLS LAST` was also removed as MySQL's `ORDER BY ... DESC` places NULLs last by default. The execution results match in both row count and data.
3,"SELECT T2.""MailStreet"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" ORDER BY T1.""FRPM Count (K-12)"" DESC NULLS LAST LIMIT 1",SELECT T2.`MailStreet` FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,result_matched,2,1,1,The MySQL query produced the same result as the PostgreSQL query. The conversion involved changing double quotes to backticks for identifiers and removing `NULLS LAST` as MySQL's `ORDER BY DESC` handles NULLs in the same way by default.
6,"SELECT T2.""School"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""Magnet"" = TRUE AND T1.""NumTstTakr"" > 500",SELECT T2.`School` FROM `satscores` AS T1 INNER JOIN `schools` AS T2 ON T1.`cds` = T2.`CDSCode` WHERE T2.`Magnet` = 1 AND T1.`NumTstTakr` > 500,result_matched,2,3,3,"The previous attempt successfully converted the PostgreSQL query to MySQL. Identifier quoting was corrected, and the boolean TRUE was correctly translated to 1 for the TINYINT(1) column. The row counts and data match the PostgreSQL execution results."
4,"SELECT T2.""Phone"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""Charter Funding Type"" = 'Directly funded' AND T1.""Charter School (Y/N)"" = TRUE AND T2.""OpenDate"" > '2000-01-01'",SELECT T2.`Phone` FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.`OpenDate` > '2000-01-01',result_matched,2,751,751,The conversion successfully handled identifier quoting (double quotes to backticks) and boolean value conversion (TRUE to 1). The date comparison syntax is compatible between PostgreSQL and MySQL. Row counts and data match exactly.
1,"SELECT ""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"" FROM ""frpm"" WHERE ""Educational Option Type"" = 'Continuation School' AND ""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"" IS NOT NULL ORDER BY ""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"" ASC NULLS LAST LIMIT 3",SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM `frpm` WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,result_matched,2,3,3,The MySQL query produced the same number of rows and identical data as the PostgreSQL query. The conversion of double quotes to backticks for identifiers and the removal of the `NULLS LAST` clause (which was implicitly handled by the `WHERE ... IS NOT NULL` condition for `ASC` sorting) were successful.
16,"SELECT COUNT(T1.""CDSCode"") FROM ""schools"" AS T1 INNER JOIN ""satscores"" AS T2 ON T1.""CDSCode"" = T2.""cds"" WHERE T1.""StatusType"" = 'Merged' AND T2.""NumTstTakr"" < 100 AND T1.""County"" = 'Lake'",SELECT COUNT(T1.`CDSCode`) FROM `schools` AS T1 INNER JOIN `satscores` AS T2 ON T1.`CDSCode` = T2.`cds` WHERE T1.`StatusType` = 'Merged' AND T2.`NumTstTakr` < 100 AND T1.`County` = 'Lake',result_matched,2,1,1,"The converted MySQL query produced the same result as the PostgreSQL query. The primary conversion involved changing double quotes to backticks for identifiers, which was correctly applied. No other complex conversions were necessary for this query."
22,"SELECT ""sname"" FROM ""satscores"" WHERE ""cname"" = 'Contra Costa' AND ""sname"" IS NOT NULL ORDER BY ""NumTstTakr"" DESC NULLS LAST LIMIT 1",SELECT `sname` FROM `satscores` WHERE `cname` = 'Contra Costa' AND `sname` IS NOT NULL ORDER BY `NumTstTakr` DESC LIMIT 1,result_matched,2,1,1,The MySQL query produced the same result as the PostgreSQL query. The conversion involved changing double quotes to backticks for identifiers and removing the 'NULLS LAST' clause as MySQL's ORDER BY DESC handles NULLs last by default.
20,"SELECT COUNT(T1.""School Name"") FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""County"" = 'Amador' AND T1.""Low Grade"" = '9' AND T1.""High Grade"" = '12'",SELECT COUNT(T1.`School Name`) FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` WHERE T2.`County` = 'Amador' AND T1.`Low Grade` = '9' AND T1.`High Grade` = '12',result_matched,2,1,1,The MySQL query produced the same result as the PostgreSQL query. Identifier quoting was correctly converted from double quotes to backticks. No other complex conversions were needed.
21,"SELECT COUNT(""CDSCode"") FROM ""frpm"" WHERE ""County Name"" = 'Los Angeles' AND ""Free Meal Count (K-12)"" > 500 AND ""FRPM Count (K-12)"" < 700",SELECT COUNT(`CDSCode`) FROM `frpm` WHERE `County Name` = 'Los Angeles' AND `Free Meal Count (K-12)` > 500 AND `FRPM Count (K-12)` < 700,result_matched,2,1,1,"The converted MySQL query produced the same row count and data as the original PostgreSQL query. The only change required was converting double quotes to backticks for identifiers, which was correctly applied."
14,"SELECT T1.""NCESSchool"" FROM ""schools"" AS T1 INNER JOIN ""frpm"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" ORDER BY T2.""Enrollment (Ages 5-17)"" DESC NULLS LAST LIMIT 5",SELECT T1.`NCESSchool` FROM `schools` AS T1 INNER JOIN `frpm` AS T2 ON T1.`CDSCode` = T2.`CDSCode` ORDER BY T2.`Enrollment (Ages 5-17)` DESC LIMIT 5,result_matched,2,5,5,"The conversion successfully handled identifier quoting and the `NULLS LAST` clause. MySQL's `ORDER BY DESC` implicitly places NULLs last, making the explicit `NULLS LAST` unnecessary. The execution results match exactly."
12,"SELECT MAX(T1.""Free Meal Count (Ages 5-17)"" / T1.""Enrollment (Ages 5-17)"") FROM ""frpm"" AS T1 INNER JOIN ""satscores"" AS T2 ON T1.""CDSCode"" = T2.""cds"" WHERE T2.""NumGE1500""::DOUBLE PRECISION / T2.""NumTstTakr"" > 0.3",SELECT MAX(T1.`Free Meal Count (Ages 5-17)` / T1.`Enrollment (Ages 5-17)`) FROM `frpm` AS T1 INNER JOIN `satscores` AS T2 ON T1.`CDSCode` = T2.`cds` WHERE CAST(T2.`NumGE1500` AS DOUBLE) / T2.`NumTstTakr` > 0.3,result_matched,2,1,1,The MySQL query successfully converted the PostgreSQL query. Both the row count (1) and the numerical result (0.9049079754601227) match between the PostgreSQL and MySQL executions. The conversion correctly handled identifier quoting and type casting.
13,"SELECT T1.""Phone"" FROM ""schools"" AS T1 INNER JOIN ""satscores"" AS T2 ON T1.""CDSCode"" = T2.""cds"" ORDER BY T2.""NumGE1500""::DOUBLE PRECISION / T2.""NumTstTakr"" DESC NULLS LAST LIMIT 3","SELECT T1.`Phone` FROM `schools` AS T1 INNER JOIN `satscores` AS T2 ON T1.`CDSCode` = T2.`cds` ORDER BY (CAST(T2.`NumGE1500` AS DOUBLE) / T2.`NumTstTakr` IS NULL) ASC, CAST(T2.`NumGE1500` AS DOUBLE) / T2.`NumTstTakr` DESC LIMIT 3",result_matched,2,3,3,"The previous attempt successfully converted the PostgreSQL query to MySQL, and the execution results (row count and data) match the PostgreSQL output. The `::DOUBLE PRECISION` cast was correctly replaced with `CAST(... AS DOUBLE)`, and `NULLS LAST` was handled by adding `(expression IS NULL) ASC` to the ORDER BY clause."
18,"SELECT COUNT(T1.""CDSCode"") FROM ""frpm"" AS T1 INNER JOIN ""satscores"" AS T2 ON T1.""CDSCode"" = T2.""cds"" WHERE T1.""Charter Funding Type"" = 'Directly funded' AND T1.""County Name"" = 'Fresno' AND T2.""NumTstTakr"" <= 250",SELECT COUNT(T1.`CDSCode`) FROM `frpm` AS T1 INNER JOIN `satscores` AS T2 ON T1.`CDSCode` = T2.`cds` WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`County Name` = 'Fresno' AND T2.`NumTstTakr` <= 250,result_matched,2,1,1,The previous attempt successfully converted the query by replacing double quotes with backticks for identifiers. The row count and data from the MySQL execution match the PostgreSQL execution exactly.
26,"SELECT T1.""School Name"", T2.""Street"", T2.""City"", T2.""State"", T2.""Zip"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""County"" = 'Monterey' AND T1.""Free Meal Count (Ages 5-17)"" > 800 AND T1.""School Type"" = 'High Schools (Public)'","SELECT T1.`School Name`, T2.`Street`, T2.`City`, T2.`State`, T2.`Zip` FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` WHERE T2.`County` = 'Monterey' AND T1.`Free Meal Count (Ages 5-17)` > 800 AND T1.`School Type` = 'High Schools (Public)'",result_matched,2,5,5,"The conversion was successful. The primary change involved converting PostgreSQL's double-quoted identifiers (e.g., ""School Name"") to MySQL's backtick-quoted identifiers (e.g., `School Name`). No other complex syntax changes were required, and the execution results (row count and data) match perfectly between PostgreSQL and MySQL."
29,"SELECT T2.""OpenDate"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" ORDER BY T1.""Enrollment (K-12)"" DESC NULLS LAST LIMIT 1",SELECT T2.`OpenDate` FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` ORDER BY T1.`Enrollment (K-12)` DESC LIMIT 1,result_matched,2,1,1,The previous conversion attempt successfully translated the PostgreSQL query to MySQL. The `NULLS LAST` clause in PostgreSQL's `ORDER BY ... DESC` is implicitly handled by MySQL's `ORDER BY ... DESC` which places NULLs last by default. The identifier quoting was correctly changed from double quotes to backticks. The execution results from both databases match exactly in terms of row count and data.
28,"SELECT T2.""School"", T2.""DOC"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""FundingType"" = 'Locally funded' AND (T1.""Enrollment (K-12)"" - T1.""Enrollment (Ages 5-17)"") > (SELECT AVG(T3.""Enrollment (K-12)"" - T3.""Enrollment (Ages 5-17)"") FROM ""frpm"" AS T3 INNER JOIN ""schools"" AS T4 ON T3.""CDSCode"" = T4.""CDSCode"" WHERE T4.""FundingType"" = 'Locally funded')","SELECT T2.`School`, T2.`DOC` FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` WHERE T2.`FundingType` = 'Locally funded' AND (T1.`Enrollment (K-12)` - T1.`Enrollment (Ages 5-17)`) > (SELECT AVG(T3.`Enrollment (K-12)` - T3.`Enrollment (Ages 5-17)`) FROM `frpm` AS T3 INNER JOIN `schools` AS T4 ON T3.`CDSCode` = T4.`CDSCode` WHERE T4.`FundingType` = 'Locally funded')",result_matched,2,57,57,"The converted MySQL query produced the same number of rows and identical data as the original PostgreSQL query. All PostgreSQL-specific syntax, primarily double-quoted identifiers, were correctly translated to MySQL's backtick-quoted identifiers. No other incompatible features were present in the original query."
31,"SELECT ""Free Meal Count (K-12)""::DOUBLE PRECISION / ""Enrollment (K-12)"" FROM ""frpm"" ORDER BY ""Enrollment (K-12)"" DESC NULLS LAST OFFSET 9 LIMIT 2","SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM `frpm` ORDER BY `Enrollment (K-12)` IS NULL, `Enrollment (K-12)` DESC LIMIT 2 OFFSET 9",result_matched,2,2,2,"The conversion successfully translated the PostgreSQL query to MySQL. Key changes included converting double-quoted identifiers to backticks, removing the explicit `::DOUBLE PRECISION` cast (as MySQL handles floating-point division automatically), and adapting `NULLS LAST` to MySQL's `ORDER BY <column> IS NULL, <column> DESC` syntax. The `OFFSET` and `LIMIT` clauses were also reordered to `LIMIT <count> OFFSET <start>` which is standard in MySQL. The row count and data match the PostgreSQL execution result."
32,"SELECT T1.""FRPM Count (K-12)""::DOUBLE PRECISION / T1.""Enrollment (K-12)"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""SOC"" = '66' ORDER BY T1.""FRPM Count (K-12)"" DESC NULLS LAST LIMIT 5",SELECT T1.`FRPM Count (K-12)` / T1.`Enrollment (K-12)` FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` WHERE T2.`SOC` = '66' ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 5,result_matched,2,5,5,"The row counts and data values match exactly between the PostgreSQL and MySQL execution results. The conversion was successful by replacing double quotes with backticks for identifiers, removing the explicit `::DOUBLE PRECISION` cast (as the columns are already `DOUBLE` in MySQL), and removing `NULLS LAST` which is the default behavior for `ORDER BY DESC` in MySQL."
25,"SELECT T1.""sname"", T2.""Charter Funding Type"" FROM ""satscores"" AS T1 INNER JOIN ""frpm"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""District Name"" LIKE 'Riverside%' GROUP BY T1.""sname"", T2.""Charter Funding Type"" HAVING SUM(T1.""AvgScrMath"")::DOUBLE PRECISION / COUNT(T1.""cds"") > 400","SELECT T1.sname, T2.`Charter Funding Type` FROM `satscores` AS T1 INNER JOIN `frpm` AS T2 ON T1.cds = T2.CDSCode WHERE T2.`District Name` LIKE 'Riverside%' GROUP BY T1.sname, T2.`Charter Funding Type` HAVING SUM(T1.AvgScrMath) / COUNT(T1.cds) > 400",result_matched,2,6,6,"The row counts match, and the data content is identical. The observed 'Data MISMATCH' is due to a difference in the order of rows between the PostgreSQL and MySQL execution results. This is expected behavior as the original query does not include an ORDER BY clause, meaning the order of results is not guaranteed and can vary between database systems. The conversion correctly translates the query logic."
33,"SELECT T2.""Website"", T1.""School Name"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""Free Meal Count (Ages 5-17)"" BETWEEN 1900 AND 2000 AND T2.""Website"" IS NOT NULL","SELECT T2.`Website`, T1.`School Name` FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` WHERE T1.`Free Meal Count (Ages 5-17)` BETWEEN 1900 AND 2000 AND T2.`Website` IS NOT NULL",result_matched,2,2,2,The conversion was successful. The primary change required was converting PostgreSQL double quotes for identifiers to MySQL backticks. No other complex function or type conversions were necessary for this query. The row count and data in the results match exactly.
10,"SELECT T2.""FRPM Count (Ages 5-17)"" FROM ""satscores"" AS T1 INNER JOIN ""frpm"" AS T2 ON T1.""cds"" = T2.""CDSCode"" ORDER BY T1.""AvgScrRead"" DESC NULLS FIRST LIMIT 1","SELECT T2.`FRPM Count (Ages 5-17)` FROM `satscores` AS T1 INNER JOIN `frpm` AS T2 ON T1.`cds` = T2.`CDSCode` ORDER BY CASE WHEN T1.`AvgScrRead` IS NULL THEN 0 ELSE 1 END ASC, T1.`AvgScrRead` DESC LIMIT 1",result_matched,2,1,1,"The conversion successfully translated PostgreSQL's double-quoted identifiers to MySQL's backticks. The `NULLS FIRST` behavior in the `ORDER BY` clause was correctly replicated using a `CASE` statement (`CASE WHEN T1.`AvgScrRead` IS NULL THEN 0 ELSE 1 END ASC, T1.`AvgScrRead` DESC`), ensuring that NULL values are sorted before non-NULL values, followed by a descending sort for non-NULLs. The `LIMIT 1` clause is identical in both dialects. The execution results match perfectly in both row count and data."
30,"SELECT T2.""City"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" GROUP BY T2.""City"" ORDER BY SUM(T1.""Enrollment (K-12)"") ASC NULLS FIRST, T2.""City"" ASC NULLS FIRST LIMIT 5","SELECT T2.`City` FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` GROUP BY T2.`City` ORDER BY (SUM(T1.`Enrollment (K-12)`) IS NULL) DESC, SUM(T1.`Enrollment (K-12)`) ASC, (T2.`City` IS NULL) DESC, T2.`City` ASC LIMIT 5",result_matched,2,5,5,"The previous attempt successfully converted the query, and the MySQL execution result matches the PostgreSQL execution result exactly in terms of row count and data. The handling of NULLS FIRST in PostgreSQL's ORDER BY clause was correctly translated to MySQL's `(column IS NULL) DESC, column ASC`."
36,"SELECT T2.""AdmFName1"", T2.""AdmLName1"", T2.""AdmFName2"", T2.""AdmLName2"", T2.""AdmFName3"", T2.""AdmLName3"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" ORDER BY T1.""NumGE1500"" DESC NULLS LAST LIMIT 1","SELECT T2.`AdmFName1`, T2.`AdmLName1`, T2.`AdmFName2`, T2.`AdmLName2`, T2.`AdmFName3`, T2.`AdmLName3` FROM `satscores` AS T1 INNER JOIN `schools` AS T2 ON T1.`cds` = T2.`CDSCode` ORDER BY T1.`NumGE1500` DESC LIMIT 1",result_matched,2,1,1,The previous attempt successfully converted the query. The row counts and data match between PostgreSQL and MySQL execution results. The `NULLS LAST` clause was correctly removed as MySQL's `ORDER BY DESC` places NULLs last by default.
35,"SELECT T2.""AdmEmail1"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""Charter School (Y/N)"" = TRUE ORDER BY T1.""Enrollment (K-12)"" ASC NULLS LAST LIMIT 1","SELECT T2.`AdmEmail1` FROM `frpm` AS T1 INNER JOIN `schools` AS T2 ON T1.`CDSCode` = T2.`CDSCode` WHERE T1.`Charter School (Y/N)` = 1 ORDER BY T1.`Enrollment (K-12)` IS NULL ASC, T1.`Enrollment (K-12)` ASC LIMIT 1",result_matched,2,1,1,"The row counts and data from the MySQL query execution match the PostgreSQL execution results. The conversion successfully handled identifier quoting, boolean conversion, and the `NULLS LAST` ordering for `ASC`."
38,"SELECT T2.""Website"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T1.""NumTstTakr"" BETWEEN 2000 AND 3000 AND T2.""County"" = 'Los Angeles'",SELECT T2.`Website` FROM `satscores` AS T1 INNER JOIN `schools` AS T2 ON T1.`cds` = T2.`CDSCode` WHERE T1.`NumTstTakr` BETWEEN 2000 AND 3000 AND T2.`County` = 'Los Angeles',result_matched,2,3,3,The previous attempt successfully converted the query. The row counts and data from the PostgreSQL and MySQL execution results match exactly. No further conversion is needed.
