question_id,source_query,converted_query,conversion_result,attempts,source_rows,dest_rows,reason
2,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,"SELECT T2.""Zip"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""District Name"" = 'Fresno County Office of Education' AND T1.""Charter School (Y/N)"" = TRUE",result_matched,2,5,5,The number of rows and the data values in the destination query's result set are identical to the source query's result set. The conversion successfully handled column/table quoting and boolean value conversion.
7,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,"SELECT T2.""Phone"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" ORDER BY T1.""NumGE1500"" DESC NULLS LAST LIMIT 1",result_matched,2,1,1,"The row counts match (1 row in both source and destination). The data values for the 'Phone' column are identical ('(213) 241-1000') in both results. The conversion correctly handled column and table naming with double quotes and added `NULLS LAST` to the `ORDER BY` clause, ensuring semantic equivalence."
5,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath > 400,"SELECT COUNT(DISTINCT T2.""School"") FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""Virtual"" = 'F' AND T1.""AvgScrMath"" > 400",result_matched,2,1,1,"The converted query produced the same number of rows and identical data values as the source query. The conversion correctly applied double quotes to table and column names, and no other specific PostgreSQL-isms (like type casting or NULL handling) were required for this particular query, as identified in the previous attempt's notes."
6,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,"SELECT T2.""School"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""Magnet"" = TRUE AND T1.""NumTstTakr"" > 500",result_matched,2,3,3,"The previous attempt successfully converted the query. Both the source and destination queries returned 3 rows with identical data, indicating semantic equivalence. The conversion correctly handled column/table naming and the boolean conversion from SQLite's `1` to PostgreSQL's `TRUE`."
8,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),"SELECT ""NumTstTakr"" FROM ""satscores"" WHERE ""cds"" = ( SELECT ""CDSCode"" FROM ""frpm"" ORDER BY ""FRPM Count (K-12)"" DESC NULLS LAST LIMIT 1 )",result_matched,2,1,1,The converted query produced the same number of rows and identical data values as the source query. The conversion correctly handled double quoting for table and column names and added `NULLS LAST` to the `ORDER BY` clause to match SQLite's default behavior for `DESC` ordering.
3,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,"SELECT T2.""MailStreet"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" ORDER BY T1.""FRPM Count (K-12)"" DESC NULLS LAST LIMIT 1",result_matched,2,1,1,"The number of rows and the data values in the destination query result match those of the source query. The conversion correctly handled column and table name quoting, and added `NULLS LAST` to the `ORDER BY` clause for semantic equivalence in PostgreSQL."
4,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',"SELECT T2.""Phone"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""Charter Funding Type"" = 'Directly funded' AND T1.""Charter School (Y/N)"" = TRUE AND T2.""OpenDate"" > '2000-01-01'",result_matched,2,751,751,The row counts and data values between the source and destination queries are identical. The conversion correctly handled double-quoting of identifiers and the boolean conversion from SQLite's 1 to PostgreSQL's TRUE for the 'Charter School (Y/N)' column.
0,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,"SELECT ""Free Meal Count (K-12)"" / ""Enrollment (K-12)"" FROM ""frpm"" WHERE ""County Name"" = 'Alameda' ORDER BY (""Free Meal Count (K-12)""::DOUBLE PRECISION / ""Enrollment (K-12)"") DESC NULLS LAST LIMIT 1",result_matched,2,1,1,"The number of rows and the data values in the result set match between the source SQLite query and the converted PostgreSQL query. The necessary conversions for column/table names, type casting for division, and NULL ordering in ORDER BY were correctly applied, leading to semantically equivalent results."
1,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,"SELECT ""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"" FROM ""frpm"" WHERE ""Educational Option Type"" = 'Continuation School' AND ""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"" IS NOT NULL ORDER BY ""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"" ASC NULLS LAST LIMIT 3",result_matched,2,3,3,"The row counts match (3 rows in both source and destination). The data values for the calculated ratio also match exactly, indicating semantic equivalence. PostgreSQL's division of DOUBLE PRECISION columns naturally performs floating-point division, which aligns with SQLite's behavior for REAL columns. Column and table names are correctly quoted, and NULLs ordering for ASC is handled with NULLS LAST, matching SQLite's default."
11,SELECT T2.CDSCode FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Enrollment (K-12)` + T2.`Enrollment (Ages 5-17)` > 500,"SELECT T2.""CDSCode"" FROM ""schools"" AS T1 INNER JOIN ""frpm"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""Enrollment (K-12)"" + T2.""Enrollment (Ages 5-17)"" > 500",result_matched,2,7806,7806,"The row counts match (7806 rows in both source and destination), and the data values are semantically equivalent. The conversion correctly handled table and column names with double quotes and the arithmetic operation on floating-point numbers, which are represented as REAL in SQLite and DOUBLE PRECISION in PostgreSQL, maintaining semantic equivalence."
