question_id,source_query
2,"SELECT T2.""Zip"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""District Name"" = 'Fresno County Office of Education' AND T1.""Charter School (Y/N)"" = TRUE"
7,"SELECT T2.""Phone"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" ORDER BY T1.""NumGE1500"" DESC NULLS LAST LIMIT 1"
5,"SELECT COUNT(DISTINCT T2.""School"") FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""Virtual"" = 'F' AND T1.""AvgScrMath"" > 400"
6,"SELECT T2.""School"" FROM ""satscores"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""cds"" = T2.""CDSCode"" WHERE T2.""Magnet"" = TRUE AND T1.""NumTstTakr"" > 500"
8,"SELECT ""NumTstTakr"" FROM ""satscores"" WHERE ""cds"" = ( SELECT ""CDSCode"" FROM ""frpm"" ORDER BY ""FRPM Count (K-12)"" DESC NULLS LAST LIMIT 1 )"
3,"SELECT T2.""MailStreet"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" ORDER BY T1.""FRPM Count (K-12)"" DESC NULLS LAST LIMIT 1"
4,"SELECT T2.""Phone"" FROM ""frpm"" AS T1 INNER JOIN ""schools"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T1.""Charter Funding Type"" = 'Directly funded' AND T1.""Charter School (Y/N)"" = TRUE AND T2.""OpenDate"" > '2000-01-01'"
0,"SELECT ""Free Meal Count (K-12)"" / ""Enrollment (K-12)"" FROM ""frpm"" WHERE ""County Name"" = 'Alameda' ORDER BY (""Free Meal Count (K-12)""::DOUBLE PRECISION / ""Enrollment (K-12)"") DESC NULLS LAST LIMIT 1"
1,"SELECT ""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"" FROM ""frpm"" WHERE ""Educational Option Type"" = 'Continuation School' AND ""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"" IS NOT NULL ORDER BY ""Free Meal Count (Ages 5-17)"" / ""Enrollment (Ages 5-17)"" ASC NULLS LAST LIMIT 3"
11,"SELECT T2.""CDSCode"" FROM ""schools"" AS T1 INNER JOIN ""frpm"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" WHERE T2.""Enrollment (K-12)"" + T2.""Enrollment (Ages 5-17)"" > 500"
14,"SELECT T1.""NCESSchool"" FROM ""schools"" AS T1 INNER JOIN ""frpm"" AS T2 ON T1.""CDSCode"" = T2.""CDSCode"" ORDER BY T2.""Enrollment (Ages 5-17)"" DESC NULLS LAST LIMIT 5"
13,"SELECT T1.""Phone"" FROM ""schools"" AS T1 INNER JOIN ""satscores"" AS T2 ON T1.""CDSCode"" = T2.""cds"" ORDER BY T2.""NumGE1500""::DOUBLE PRECISION / T2.""NumTstTakr"" DESC NULLS LAST LIMIT 3"
16,"SELECT COUNT(T1.""CDSCode"") FROM ""schools"" AS T1 INNER JOIN ""satscores"" AS T2 ON T1.""CDSCode"" = T2.""cds"" WHERE T1.""StatusType"" = 'Merged' AND T2.""NumTstTakr"" < 100 AND T1.""County"" = 'Lake'"
12,"SELECT MAX(T1.""Free Meal Count (Ages 5-17)"" / T1.""Enrollment (Ages 5-17)"") FROM ""frpm"" AS T1 INNER JOIN ""satscores"" AS T2 ON T1.""CDSCode"" = T2.""cds"" WHERE T2.""NumGE1500""::DOUBLE PRECISION / T2.""NumTstTakr"" > 0.3"
